,INCOME_IND,0,m
0,0,0,True
1,0,0,True
2,0,0,True
3,0,0,True
4,0,0,True
5,0,0,True
6,0,0,True
7,0,0,True
8,0,0,True
9,0,0,True
10,0,0,True
11,0,0,True
12,0,0,True
13,0,0,True
14,0,0,True
15,0,0,True
16,0,0,True
17,0,0,True
18,0,0,True
19,1,0,False
20,0,0,True
21,0,0,True
22,0,0,True
23,0,0,True
24,0,0,True
25,0,0,True
26,0,0,True
27,0,0,True
28,0,0,True
29,0,0,True
30,0,0,True
31,0,0,True
32,0,0,True
33,1,1,True
34,0,0,True
35,0,0,True
36,0,0,True
37,0,0,True
38,1,1,True
39,0,0,True
40,0,0,True
41,0,0,True
42,0,0,True
43,0,0,True
44,0,0,True
45,0,0,True
46,0,0,True
47,0,0,True
48,0,0,True
49,0,0,True
50,0,0,True
51,0,0,True
52,0,0,True
53,0,0,True
54,0,0,True
55,0,0,True
56,0,0,True
57,0,0,True
58,0,0,True
59,1,0,False
60,0,0,True
61,0,0,True
62,0,0,True
63,0,0,True
64,0,0,True
65,0,0,True
66,0,0,True
67,0,0,True
68,0,0,True
69,0,0,True
70,0,0,True
71,0,0,True
72,0,0,True
73,0,0,True
74,0,0,True
75,0,0,True
76,0,0,True
77,0,0,True
78,0,0,True
79,0,0,True
80,0,0,True
81,0,0,True
82,0,0,True
83,0,0,True
84,0,0,True
85,0,0,True
86,0,0,True
87,0,0,True
88,0,0,True
89,0,0,True
90,0,0,True
91,0,0,True
92,0,0,True
93,0,0,True
94,0,0,True
95,0,0,True
96,0,0,True
97,0,0,True
98,0,0,True
99,0,0,True
100,1,0,False
101,0,0,True
102,0,0,True
103,0,0,True
104,0,0,True
105,0,0,True
106,0,0,True
107,0,0,True
108,0,0,True
109,0,0,True
110,0,0,True
111,0,0,True
112,0,0,True
113,0,0,True
114,0,0,True
115,0,0,True
116,0,1,False
117,0,0,True
118,0,0,True
119,0,0,True
120,0,0,True
121,0,0,True
122,0,0,True
123,0,0,True
124,0,0,True
125,1,0,False
126,0,0,True
127,0,0,True
128,0,0,True
129,0,0,True
130,0,0,True
131,0,0,True
132,0,0,True
133,0,0,True
134,0,0,True
135,0,0,True
136,0,0,True
137,0,0,True
138,0,0,True
139,0,0,True
140,0,0,True
141,0,0,True
142,0,0,True
143,0,0,True
144,0,0,True
145,0,0,True
146,0,0,True
147,0,0,True
148,0,0,True
149,1,0,False
150,0,0,True
151,0,0,True
152,0,0,True
153,0,0,True
154,1,1,True
155,0,0,True
156,0,0,True
157,0,0,True
158,0,0,True
159,0,0,True
160,0,1,False
161,0,0,True
162,0,0,True
163,0,0,True
164,0,0,True
165,0,0,True
166,0,0,True
167,0,0,True
168,0,0,True
169,0,0,True
170,0,0,True
171,0,0,True
172,0,0,True
173,0,0,True
174,0,0,True
175,0,0,True
176,0,0,True
177,0,0,True
178,0,0,True
179,0,0,True
180,0,0,True
181,0,0,True
182,0,0,True
183,0,0,True
184,0,0,True
185,1,0,False
186,0,0,True
187,0,0,True
188,0,0,True
189,0,0,True
190,0,0,True
191,0,0,True
192,0,0,True
193,0,0,True
194,0,0,True
195,0,0,True
196,0,0,True
197,0,0,True
198,0,0,True
199,0,0,True
200,0,0,True
201,0,0,True
202,0,0,True
203,0,0,True
204,0,0,True
205,0,0,True
206,1,1,True
207,0,0,True
208,0,0,True
209,0,0,True
210,0,0,True
211,0,0,True
212,0,0,True
213,0,0,True
214,0,0,True
215,0,0,True
216,0,0,True
217,0,0,True
218,0,0,True
219,0,0,True
220,0,0,True
221,0,0,True
222,0,0,True
223,0,0,True
224,0,0,True
225,0,0,True
226,0,0,True
227,0,0,True
228,0,0,True
229,0,0,True
230,0,0,True
231,1,0,False
232,0,0,True
233,0,0,True
234,0,0,True
235,0,0,True
236,0,0,True
237,1,0,False
238,0,0,True
239,0,0,True
240,0,0,True
241,0,0,True
242,0,0,True
243,0,0,True
244,0,0,True
245,0,0,True
246,0,0,True
247,0,0,True
248,0,0,True
249,0,0,True
250,0,0,True
251,0,0,True
252,0,0,True
253,0,0,True
254,0,0,True
255,0,0,True
256,0,0,True
257,0,0,True
258,0,0,True
259,0,0,True
260,0,0,True
261,0,0,True
262,0,0,True
263,0,0,True
264,0,0,True
265,0,0,True
266,0,0,True
267,0,0,True
268,0,0,True
269,0,0,True
270,0,0,True
271,0,0,True
272,0,0,True
273,0,0,True
274,0,0,True
275,0,0,True
276,0,0,True
277,1,0,False
278,0,0,True
279,0,0,True
280,0,0,True
281,0,0,True
282,0,0,True
283,0,0,True
284,0,0,True
285,0,0,True
286,0,0,True
287,0,0,True
288,0,1,False
289,0,0,True
290,0,0,True
291,0,0,True
292,0,0,True
293,0,0,True
294,0,0,True
295,0,0,True
296,0,0,True
297,1,1,True
298,0,0,True
299,0,0,True
300,0,0,True
301,0,0,True
302,0,0,True
303,0,0,True
304,0,0,True
305,1,1,True
306,0,0,True
307,0,0,True
308,0,0,True
309,0,0,True
310,0,0,True
311,0,0,True
312,0,0,True
313,0,0,True
314,0,0,True
315,0,0,True
316,0,0,True
317,0,0,True
318,0,0,True
319,0,0,True
320,0,0,True
321,1,0,False
322,0,0,True
323,0,0,True
324,0,0,True
325,0,0,True
326,0,0,True
327,0,0,True
328,0,0,True
329,0,0,True
330,0,0,True
331,0,0,True
332,0,0,True
333,0,0,True
334,0,0,True
335,0,0,True
336,0,0,True
337,0,0,True
338,0,0,True
339,0,0,True
340,0,0,True
341,0,0,True
342,0,0,True
343,0,0,True
344,0,0,True
345,0,0,True
346,0,0,True
347,0,0,True
348,0,0,True
349,0,0,True
350,0,0,True
351,0,0,True
352,0,0,True
353,1,0,False
354,1,0,False
355,0,0,True
356,0,0,True
357,0,0,True
358,0,0,True
359,0,0,True
360,0,0,True
361,0,0,True
362,0,0,True
363,0,0,True
364,0,0,True
365,0,0,True
366,0,0,True
367,1,0,False
368,0,0,True
369,0,0,True
370,1,0,False
371,0,0,True
372,0,0,True
373,0,0,True
374,0,0,True
375,0,0,True
376,0,0,True
377,0,0,True
378,0,0,True
379,0,0,True
380,0,0,True
381,0,0,True
382,0,0,True
383,1,1,True
384,0,0,True
385,0,1,False
386,0,0,True
387,0,0,True
388,0,0,True
389,0,0,True
390,1,0,False
391,0,0,True
392,0,0,True
393,0,0,True
394,0,0,True
395,0,0,True
396,0,0,True
397,0,0,True
398,0,0,True
399,0,0,True
400,0,0,True
401,0,0,True
402,0,0,True
403,0,0,True
404,0,0,True
405,0,0,True
406,0,0,True
407,0,0,True
408,0,0,True
409,0,0,True
410,0,0,True
411,0,0,True
412,0,0,True
413,0,0,True
414,0,0,True
415,0,0,True
416,0,0,True
417,0,0,True
418,0,0,True
419,0,0,True
420,0,0,True
421,0,0,True
422,0,0,True
423,0,0,True
424,0,0,True
425,0,0,True
426,0,0,True
427,0,0,True
428,0,0,True
429,0,0,True
430,0,0,True
431,0,0,True
432,0,0,True
433,0,0,True
434,0,0,True
435,0,0,True
436,0,0,True
437,0,0,True
438,0,0,True
439,0,0,True
440,0,0,True
441,0,0,True
442,0,0,True
443,0,0,True
444,0,0,True
445,0,0,True
446,0,0,True
447,0,0,True
448,0,0,True
449,0,0,True
450,0,0,True
451,0,0,True
452,0,0,True
453,0,0,True
454,0,0,True
455,0,0,True
456,0,0,True
457,0,0,True
458,0,0,True
459,0,0,True
460,0,0,True
461,1,0,False
462,0,0,True
463,0,0,True
464,0,0,True
465,0,0,True
466,0,0,True
467,0,0,True
468,0,0,True
469,0,0,True
470,0,0,True
471,0,0,True
472,0,0,True
473,0,0,True
474,0,0,True
475,0,0,True
476,0,0,True
477,0,0,True
478,0,0,True
479,0,0,True
480,0,0,True
481,0,0,True
482,0,0,True
483,1,0,False
484,0,0,True
485,0,0,True
486,0,0,True
487,1,0,False
488,0,0,True
489,0,0,True
490,0,0,True
491,0,0,True
492,0,0,True
493,0,0,True
494,0,0,True
495,0,1,False
496,0,0,True
497,0,0,True
498,0,0,True
499,0,0,True
500,0,0,True
501,0,0,True
502,0,0,True
503,0,0,True
504,0,0,True
505,0,0,True
506,0,0,True
507,0,0,True
508,0,0,True
509,0,0,True
510,1,0,False
511,0,0,True
512,0,0,True
513,0,0,True
514,0,0,True
515,0,0,True
516,0,0,True
517,0,0,True
518,1,0,False
519,0,0,True
520,0,0,True
521,1,0,False
522,0,0,True
523,0,0,True
524,0,0,True
525,0,0,True
526,0,0,True
527,0,0,True
528,0,0,True
529,0,0,True
530,0,0,True
531,0,0,True
532,1,1,True
533,0,0,True
534,0,0,True
535,0,0,True
536,0,0,True
537,0,0,True
538,0,0,True
539,0,0,True
540,0,0,True
541,0,0,True
542,0,0,True
543,0,0,True
544,0,0,True
545,0,0,True
546,0,0,True
547,0,0,True
548,0,0,True
549,0,0,True
550,0,0,True
551,0,0,True
552,0,0,True
553,0,0,True
554,0,0,True
555,0,0,True
556,1,1,True
557,0,0,True
558,0,0,True
559,0,0,True
560,0,0,True
561,1,1,True
562,0,0,True
563,0,0,True
564,1,1,True
565,0,0,True
566,0,0,True
567,0,0,True
568,0,0,True
569,0,0,True
570,0,0,True
571,0,0,True
572,0,0,True
573,0,0,True
574,0,0,True
575,0,0,True
576,0,0,True
577,0,0,True
578,0,0,True
579,0,0,True
580,0,0,True
581,0,0,True
582,0,0,True
583,0,0,True
584,0,0,True
585,0,0,True
